clip_id,source_id,session_id,file_path,file_name,file_size_mb,sha256,source_start_sec,source_end_sec,duration_sec,fps,frame_count,width,height,codec,metadata_source,decode_ok,decode_error_count,first_frame_ok,middle_frame_ok,last_frame_ok,full_decode_ok,duplicate_group,overlap_group,overlap_status,overlap_max_sec,overlap_max_ratio,qc_status,qc_notes
LF_ZmCAo38w_C053,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C053.mp4,LF_ZmCAo38w_C053.mp4,109.136,7666d199b49cd29c21644d6bdd254110c15f570f90d3bfb04c09db1402326008,5720.0,5840.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C054,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C054.mp4,LF_ZmCAo38w_C054.mp4,111.003,baa36135ba52c543bfd830ac8e4cff713c38bdadcfc3415e3c48fc0498686f47,5830.0,5950.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C055,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C055.mp4,LF_ZmCAo38w_C055.mp4,113.171,a5fb1f57a8c5691362ca662d53278fcb348e4a520a812974ad285bad3c314560,5940.0,6060.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C056,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C056.mp4,LF_ZmCAo38w_C056.mp4,124.333,574fd6585dfdfbcd293c4a1db0637d365a43dd7466eef68523ea96b882375061,6050.0,6170.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C057,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C057.mp4,LF_ZmCAo38w_C057.mp4,124.805,14fa0c324c7b7326f28830801934d3136013f30ee78be48e409afb54a415ab29,6160.0,6280.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C058,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C058.mp4,LF_ZmCAo38w_C058.mp4,128.325,8c5422574755a47e211c14341ce7826ca10a7f6d296240e76bf76de12562801e,6270.0,6390.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C059,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C059.mp4,LF_ZmCAo38w_C059.mp4,128.59,c6d51391f4cc7f8079540a93e9c136b455d1b9a919d5d1c51f04688322bc5347,6380.0,6500.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C060,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C060.mp4,LF_ZmCAo38w_C060.mp4,116.55,b0fd79ad400c9cb3626441e1687e102355ec7871045b8f5fea4a371c17f42da4,6490.0,6610.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C061,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C061.mp4,LF_ZmCAo38w_C061.mp4,120.151,b8b5e2e5f7ccc3945b9c61db4bc4b3bf5f84404b0c40d9bf39d7a20cf6273165,6600.0,6720.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C062,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C062.mp4,LF_ZmCAo38w_C062.mp4,114.8,cdf8365b84d8fbf66d664d87eece05069548892d4a917990a6e014e18e2a74b8,6710.0,6830.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
